osmid,closeness_centrality
110,0.0020459382713433633
115,0.002079601363780929
277510,0.0020679572878344018
114,0.001998017868416455
113,0.002121366738564797
25447937,0.002113843530556686
116,0.001989960186264968
42261089,0.0019977629556876654
455930051,0.0021246476421654505
111,0.0021275333406635525
112,0.001947300416670313
35677053,0.0021807873599526914
8044425791,0.0022958248527751115
151,0.0021992484753346328
161,0.0018907263329275446
837705204,0.0019554573604953045
670734,0.0020177053184373245
136,0.002173620289089981
8044425793,0.0022496893262690925
277513,0.002063325678476611
8044425790,0.0023319163529880583
670726,0.002130952039146803
2464206425,0.0022998368503007473
3173036181,0.00220350019768633
79851,0.0021729333576490503
103941,0.0017786642319953963
3884700848,0.0018712145615547636
670735,0.0020427858248839473
11270493432,0.0019908898955587925
8046278453,0.002220696714603557
455930045,0.0022541722193503777
670731,0.001962237482704502
2464206419,0.0023365642697434166
3687335056,0.0023671169663596003
25447945,0.0019478228564363093
1230913619,0.0020898690231065903
152,0.002196730173459258
21291978,0.0019662341330856296
25447935,0.002005769928074189
1263977786,0.0018924250743650255
103946,0.0017622110803757205
8640146284,0.0020200283155256335
42261128,0.001960081222406082
118,0.0018997323147646997
1237463022,0.0020176848367049745
1243743257,0.0020359621186927745
8044425785,0.0022404598836136664
771936066,0.002235023235282059
660469,0.0022116824296277457
35677075,0.002221085479231885
2464206417,0.0023890604536332205
3172166487,0.0020176876687222007
35334356,0.0019478008468700983
79848,0.0019303020677393593
1263977745,0.0018648687981416866
103952,0.0016966286052188613
981,0.001940011696105224
980,0.001903579388538158
286366708,0.002243292593122943
1381747907,0.0023948889797710295
25422047,0.0022089824016627577
3172166513,0.0021840356432019843
79840,0.0017507661586105801
3884700849,0.0019110673262151413
1263977655,0.0018457737914834732
646800,0.0017187765247840096
646815,0.00170799946000266
646832,0.0016835193619486374
6143762598,0.0019205839360201865
35677058,0.001893729679247865
771936065,0.002238397255204771
455930063,0.0022696405673866753
771936062,0.002217044450060964
1024924,0.0023957493207388816
80077,0.0022624874284456514
286366484,0.0021551325553472583
670753,0.0022772726192606804
286366184,0.0021777534901825466
1024925,0.0023747143591112767
1851629,0.00239275146080277
80082,0.00221237341023273
1263977628,0.0018387084224083137
145,0.0018199566005840273
1263977859,0.00176622655164795
646817,0.001661183740207394
103951,0.0016369710345733794
3172166475,0.00220361510413669
1851568,0.0021098914659433378
646821,0.0016898120778199605
1263977614,0.0018229045075282553
3538671691,0.0018354427736979482
79678,0.0018085858875883539
978,0.0018966688006355726
646836,0.0018710929550758847
79696,0.0017420397147875869
79679,0.0017278639651312402
1263977652,0.0017788413337916044
103957,0.0016778792222542928
103955,0.001651454434559026
977,0.0018430990822812692
1231629398,0.0019327767319841647
646837,0.0018409990174197042
287211227,0.001796983405207042
835666131,0.0018130563821519487
455930054,0.0019468064111440116
1758615523,0.0018917349246656376
283284500,0.0017399239693782593
987,0.0018325772683791036
7862974341,0.001761186713616631
283284619,0.0017983947772244977
286366479,0.002049869675413564
796136327,0.0018831617652556817
796136325,0.0018544474959055284
1263977837,0.0017953582005841937
79683,0.0017685736160725264
79688,0.0017165103846562173
277501,0.0017840933348740211
649562,0.0018540763347454218
649579,0.0018215871350624785
283284973,0.0016625798529401453
835666147,0.001780788711092198
412454439,0.001951208391948071
295867998,0.001986736443141077
286366480,0.002077320476753073
35334443,0.0017683126655671621
79169,0.0016475049764804863
79689,0.0016881700401886201
277499,0.001725557687874585
835666216,0.0017758334328767983
79700,0.0016367651433316969
25730692,0.001562577921471279
79141,0.0016648605676961086
646892,0.0016990160225216079
1349701202,0.0016336658044720257
79690,0.0016643848254964786
277505,0.0016935149382812644
281711,0.001544598310305491
