y,x,street_count,lon,lat,highway,ref,geometry,closeness_centrality
6651543.901944882,263315.11795563507,4,10.7632563,59.9331416,,,POINT (263315.11795563507 6651543.901944882),0.0023124219717339
6646346.8238547295,265457.3438138432,3,10.8073648,59.8878245,,,POINT (265457.3438138432 6646346.8238547295),0.0019442293617765
6652470.639497704,259124.5167434106,4,10.6874094,59.9390125,traffic_signals,,POINT (259124.5167434106 6652470.639497704),0.0018821443816795
6652410.864465678,269360.64965937764,3,10.8701747,59.9443329,,,POINT (269360.64965937764 6652410.864465678),0.0016369601828852
